section,section_name,question_number,topic,question_text,ans1,ans2,ans3,ans4,ans5
1,Critical Thinking & Media Literacy,1,delivering critical media training,How much experience do you have helping young people think critically and understand media?,None,A little,Some,Quite a lot,Extensive
1,Critical Thinking & Media Literacy,2,verifying online information,Are you checking if online information is trustworthy and teaching young people to do the same?,Not at all,Occasionally,Sometimes,Often,Always
1,Critical Thinking & Media Literacy,3,the impact of media on young people,"In your experience, do false or biased media messages affect young people's critical thinking ability?",Not at all,A little,Somewhat,Quite a lot,Very much
1,Critical Thinking & Media Literacy,4,giving guidance on media messages,How effective are the artistic tools or methodologies you use in raising awareness about mental health among young people and fostering open dialogue?,Not at all,A little,Somewhat,Quite a lot,Very much
1,Critical Thinking & Media Literacy,5,helping young artists communicate media messages,"How confident are you in helping young artists create meaningful, socially aware messages through art and media?",Not confident,Slightly confident,Moderately confident,Quite confident,Very confident
2,Digital Mentoring Skills,1,live video mentoring,One-to-one mentoring online using video/audio calls via the internet,No experience or skills,Occasional experience and skills,Some experience and skills,Regular experience and good level of skills,Highly experienced and skilled
2,Digital Mentoring Skills,2,text-based mentoring,One-to-one mentoring online via chat/email,No experience or skills,Occasional experience and skills,Some experience and skills,Regular experience and good level of skills,Highly experienced and skilled
2,Digital Mentoring Skills,3,Online Group Workshops,Group workshops/classes online,No experience or skills,Occasional experience and skills,Some experience and skills,Regular experience and good level of skills,Highly experienced and skilled
2,Digital Mentoring Skills,4,Digital Training Content,"Producing online training content (e.g. audio podcasts/video/social media)",No experience or skills,Occasional experience and skills,Some experience and skills,Regular experience and good level of skills,Highly experienced and skilled
2,Digital Mentoring Skills,5,Interactive Online Tools,"Use of online tools (e.g. Mentimeter, Miro boards)",No experience or skills,Occasional experience and skills,Some experience and skills,Regular experience and good level of skills,Highly experienced and skilled
3,Inclusion and Equality,1,understanding inclusion and equality concepts,I feel confident in my understanding of inclusion and equality concepts and their importance in mentoring creative youth.,Strongly disagree,Partly disagree,Not sure,Mostly agree,Fully agree
3,Inclusion and Equality,2,pursuing training on inclusion and equality,I actively seek out opportunities and engage in training to update my knowledge and skills on best practices for fostering inclusion and equality.,Strongly disagree,Partly disagree,Not sure,Mostly agree,Fully agree
3,Inclusion and Equality,3,tailoring mentoring to support diverse needs of creative youth,"I actively seek to make my mentoring approach inclusive, accessible, and equitable, and I tailor my support to meet the diverse needs of individuals from various backgrounds.",Strongly disagree,Partly disagree,Not sure,Mostly agree,Fully agree
3,Inclusion and Equality,4,seeking feedback to improve inclusion practices,"I proactively seek feedback from my mentees and peers and engage in open dialogue about my and my organisation's approach to inclusion and equality, using this feedback to improve my practices.",Strongly disagree,Partly disagree,Not sure,Mostly agree,Fully agree
3,Inclusion and Equality,5,guiding creative youth in incorporating inclusion and equality in their work,"I actively encourage and guide creative youth to incorporate principles of inclusion and equality into their work and messaging, and I support them in developing these perspectives.",Strongly disagree,Partly disagree,Not sure,Mostly agree,Fully agree
4,Health and Wellbeing,1,supporting emotional and mental wellbeing,To what extent does the artistic experience you offer young people contribute to their emotional and mental well-being?,Not at all,Slightly,Moderately,Quite a lot,Very much
4,Health and Wellbeing,2,implementing a safe and welcoming learning environment,How effectively do you implement strategies or measures to create a safe and welcoming learning environment that encourages openness and emotional sharing?,Not effectively,Slightly effectively,Moderately effectively,Quite effectively,Very effectively
4,Health and Wellbeing,3,assisting young people experiencing distress,"When you notice signs of distress or mental health struggles in young people, how actively do you take steps to support them or help them access appropriate assistance?",Not at all,Rarely,Occasionally,Frequently,Very actively
4,Health and Wellbeing,4,using artistic tools to foster awareness of mental health,How effective are the artistic tools or methodologies you use in raising awareness about mental health among young people and fostering open dialogue?,Not effective,Slightly effective,Moderately effective,Quite effective,Very effective
4,Health and Wellbeing,5,understanding your level of training and resources,How much do you feel the need for additional resources or training to better address these challenges?,Not at all,A little,Somewhat,Quite a lot,Very much
5,Social Impact of Arts,1,empowerment through participatory arts,How confident are you in your understanding of how participatory arts can empower young people and build their self-confidence?,Not at all,A little confident,Moderately confident,Mostly confident,Completely confident
5,Social Impact of Arts,2,supporting socially engaged arts,How actively do you support young people in using art to explore social issues and express their views on community or global challenges?,Not at all,Not much,Moderately actively,Quite actively,Very actively
5,Social Impact of Arts,3,social value of arts,How effective do you feel your current practice is in helping young creatives understand the social value of their artistic work?,Not at all,Basic understanding,Moderate understanding,Good understanding,Expert level
5,Social Impact of Arts,4,socially inclusive mentoring,How often do you include socially relevant or inclusive themes when mentoring or guiding young artists?,Not at all,Not often,Sometimes,Frequently,Almost always
5,Social Impact of Arts,5,level of resources to make a social impact,"How much do you feel the need for additional tools, resources, or training to better support socially impactful art-making with youth?",Not at all,A little,Moderately,A lot,Completely
6,Enterprise Skills,1,Networking,"Networking with artists, agents, employers and people in the industry",Not at all,Rarely provide support in this area,"I do support young people to do this, but would like to develop my skills and knowledge",I often support young people in this way,This is a fundamental element of how I support young people
6,Enterprise Skills,2,Developing young people's portfolios,Developing and presenting their creative portfolio in order to build an audience for their work,Not at all,Rarely provide support in this area,"I do support young people to do this, but would like to develop my skills and knowledge",I often support young people in this way,This is a fundamental element of how I support young people
6,Enterprise Skills,3,Pitching,"Pitching their work, seeking out, responding to and applying for auditions/commissions/opportunities",Not at all,Rarely provide support in this area,"I do support young people to do this, but would like to develop my skills and knowledge",I often support young people in this way,This is a fundamental element of how I support young people
6,Enterprise Skills,4,Career strategies,Strategies for sustaining a career as a creative professional,Not at all,Rarely provide support in this area,"I do support young people to do this, but would like to develop my skills and knowledge",I often support young people in this way,This is a fundamental element of how I support young people
6,Enterprise Skills,5,IP and copyright,Awareness of Intellectual property and copyright and other relevant legislation,Not at all,Rarely provide support in this area,"I do support young people to do this, but would like to develop my skills and knowledge",I often support young people in this way,This is a fundamental element of how I support young people
